Crimes and Clearances by Offense Type,,,,,
Current date: 12/3/2011 6:01:00 PM (Central Standard Time),,,,,
,Measures,Number of Crimes,Estimated Population,"Crime Rate (per 1,000)",
,Offense Type,Drug/Narcotic Violations,Drug/Narcotic Violations,Drug/Narcotic Violations,
Jurisdiction,Incident Date,,,,
,2005,277,"33,993",8.15,
,2006,217,"35,877",6.05,
,2007,287,"37,218",7.71,
,2008,218,"38,173",5.71,
,2009,138,"38,785",3.56,
,2010,192,"38,413",5,
Gibson,2001,240,"47,999",5,
,2002,287,"47,908",5.99,
,2003,289,"47,690",6.06,
,2004,301,"47,792",6.3,
,2005,230,"47,856",4.81,
,2006,186,"48,022",3.87,
,2007,215,"48,435",4.44,
,2008,163,"49,257",3.31,
,2009,120,"49,468",2.43,
,2010,167,"49,683",3.36,
Hardeman,2001,99,"28,127",3.52,
,2002,138,"28,071",4.92,
,2003,162,"27,887",5.81,
,2004,211,"27,803",7.59,
,2005,189,"27,795",6.8,
,2006,163,"27,779",5.87,
,2007,149,"27,805",5.36,
,2008,153,"27,848",5.49,
,2009,106,"27,613",3.84,
,2010,104,"27,253",3.82,
Hardin,2001,107,"25,766",4.15,
,2002,93,"25,811",3.6,
,2003,113,"25,718",4.39,
,2004,156,"25,598",6.09,
,2005,132,"25,811",5.11,
,2006,146,"25,990",5.62,
,2007,112,"26,149",4.28,
,2008,107,"26,227",4.08,
,2009,168,"26,258",6.4,
,2010,132,"26,026",5.07,
Haywood,2001,260,"19,844",13.1,
,2002,234,"19,547",11.97,
,2003,162,"19,472",8.32,
,2004,183,"19,590",9.34,
,2005,111,"19,402",5.72,
,2006,87,"19,299",4.51,
,2007,99,"19,165",5.17,
,2008,71,"19,024",3.73,
,2009,82,"18,881",4.34,
,2010,109,"18,787",5.8,
Henderson,2001,139,"25,661",5.42,
,2002,117,"25,767",4.54,
,2003,151,"25,832",5.85,
,2004,147,"25,892",5.68,
,2005,109,"26,137",4.17,
,2006,133,"26,523",5.01,
,2007,155,"26,759",5.79,
,2008,207,"26,916",7.69,
,2009,148,"27,037",5.47,
,2010,177,"27,769",6.37,
Henry,2001,249,"31,169",7.99,
,2002,213,"31,258",6.81,
,2003,230,"31,052",7.41,
,2004,262,"31,077",8.43,
,2005,217,"31,294",6.93,
,2006,245,"31,399",7.8,
,2007,229,"31,517",7.27,
,2008,248,"31,770",7.81,
,2009,225,"31,876",7.06,
,2010,303,"32,330",9.37,
Hickman,2001,19,"22,703",0.84,
