"Total Arrestees by Weapon Type"
"Current date: 11/21/2011 3:00:46 PM (Central Standard Time)"
,"Measures","Number of Arrestees","Number of Incidents","Estimated Population","Arrestee Rate (per 1,000)",
,"Arrestee Armed With","Firearm","Firearm","Firearm","Firearm",
"Jurisdiction","Arrest Date"
,"2006","9","9","27934","0.32"
,"2007","7","7","28019","0.25"
,"2008","5","5","28247","0.18"
,"2009","9","9","28068","0.32"
,"2010","7","7","28237","0.25"
"Marshall","2001","11","9","27132","0.41"
,"2002","8","8","27291","0.29"
,"2003","12","9","27427","0.44"
,"2004","9","9","27776","0.32"
,"2005","11","11","28093","0.39"
,"2006","11","11","28716","0.38"
,"2007","8","6","29382","0.27"
,"2008","9","9","29731","0.30"
,"2009","5","5","30279","0.17"
,"2010","4","4","30617","0.13"
"Maury","2001","61","58","70161","0.87"
,"2002","33","33","71265","0.46"
,"2003","29","19","72754","0.40"
,"2004","31","29","74235","0.42"
,"2005","71","57","75639","0.94"
,"2006","84","78","77860","1.08"
,"2007","116","101","80420","1.44"
,"2008","100","97","81938","1.22"
,"2009","146","125","84302","1.73"
,"2010","69","60","80956","0.85"
"Montgomery","2001","27","27","135712","0.20"
,"2002","26","25","136811","0.19"
,"2003","30","26","138915","0.22"
,"2004","14","13","141464","0.10"
,"2005","77","67","147789","0.52"
,"2006","75","72","148333","0.51"
,"2007","100","89","154860","0.65"
,"2008","111","99","154756","0.72"
,"2009","92","83","160978","0.57"
,"2010","105","102","172331","0.61"
"Moore","2001","6","6","5789","1.04"
,"2002","3","3","5911","0.51"
,"2003","5","4","5857","0.85"
,"2004","4","4","5923","0.68"
,"2005","4","2","5982","0.67"
,"2006","1","1","5985","0.17"
,"2007","2","2","6043","0.33"
,"2008","1","1","6195","0.16"
,"2009","","","6096",""
,"2010","1","1","6362","0.16"
"Putnam","2001","13","11","63227","0.21"
,"2002","15","14","64205","0.23"
,"2003","14","13","65036","0.22"
,"2004","14","11","66037","0.21"
,"2005","10","9","67124","0.15"
,"2006","22","19","68834","0.32"
,"2007","36","34","69933","0.51"
